srno,state_ut,confirmed_cases,active_cases,cured,death
1,Andaman and Nicobar Islands,7539,6,7404,129
2,Andhra Pradesh,1970008,20582,1936016,13410
3,Arunachal Pradesh,48565,3508,44823,234
4,Assam,568257,12429,550534,5294
5,Bihar,724917,401,714872,9644
6,Chandigarh,61960,33,61116,811
7,Chhattisgarh,1002458,1918,987012,13528
8,Dadra and Nagar Haveli ,10650,15,10631,4
9,Delhi,1436401,538,1410809,25054
10,Goa,171295,1027,167118,3150
11,Gujarat,824922,251,814595,10076
12,Haryana,769956,703,759614,9639
13,Himachal Pradesh,206369,1304,201543,3522
14,Jammu and Kashmir,321725,1254,316090,4381
15,Jharkhand,347223,239,341855,5129
16,Karnataka,2908284,24045,2847627,36612
17,Kerala,3425473,165834,3242684,16955
18,Ladakh,20345,57,20081,207
19,Lakshadweep,10207,79,10078,50
20,Madhya Pradesh,791862,132,781217,10513
21,Maharashtra,6315063,78700,6103325,133038
22,Manipur,99872,9814,88480,1578
23,Meghalaya,65939,5843,58987,1109
24,Mizoram,40111,12316,27642,153
25,Nagaland,28004,1300,26130,574
26,Odisha,979737,13318,960386,6033
27,Puducherry,121059,944,118320,1795
28,Punjab,599162,473,582395,16294
29,Rajasthan,953704,241,944509,8954
30,Sikkim,26880,3323,23211,346
31,Tamil Nadu,2563544,20385,2509029,34130
32,Telangana,645997,8819,633371,3807
33,Tripura,79026,3104,75167,755
34,Uttar Pradesh,1708500,646,1685091,22763
35,Uttarakhand,342198,574,334261,7363
36,West Bengal,1529295,10803,1500331,18161
